,annotated_is_accurate_level,annotated_is_accurate,annotated_is_artifacts,annotated_is_artifacts_level,annotated_is_visualy_consistence,annotated_is_good_quality,annotated_is_extensive_difference_caption_accurate,metadata_annotated_difference_caption_explanation,metadata_annotated_visualy_consistence_explanation,metadata_annotated_good_quality_explanation,instruction,rich_instruction,artifacts_bboxes,extensive_caption,caption,action,id,split,Image1,Image2,Answer.taskAnswers,metadata_annotated_is_accurate_level,metadata_annotated_is_accurate,metadata_annotated_is_artifacts,metadata_annotated_is_artifacts_level,metadata_annotated_is_visualy_consistence,metadata_annotated_is_good_quality,metadata_annotated_is_extensive_difference_caption_accurate,annotators
26,0,False,True,2,False,True,False,"[""N\\A - The edited image is completely black.  This has to be an error. If not, the edit was so unsuccessful as to cause the collapse of the rendering universe, leaving us all in a pit of bleak, eternal blackness and despair.  Let's just hope the image was simply broken. ;)"", 'The entire image is changed to solid black.', 'The entire image was changed to black. ']","['The entire image is black.', 'The entire image turned black.', '']","['All that is here is a pure black picture.', 'There is no longer any detail to the image.', '']",add more people,,[],,,Add,376891_add more people_3,test,https://d3f6n9ckq6wheg.cloudfront.net/376891_add+more+people_3_source.png,https://ditrjjm9jx0yk.cloudfront.net/images/ultraedit_add%20more%20people.png,"[{""DispenseROPTrigger"":""0"",""good_quality_explanation"":""All that is here is a pure black picture."",""is_accurate"":{""accurate"":false,""accurate_but_unexpected"":false,""not_accurate"":true,""partially_accurate"":false},""is_artifacts"":{""good_image_artifacts"":false,""not_good_image_artifacts_level_1"":false,""not_good_image_artifacts_level_2"":true},""is_extensive_difference_caption_accurate"":{""extensive_difference_caption_accurate"":false,""extensive_difference_caption_not_accurate"":true},""is_extensive_difference_caption_accurate_explenation"":""N\\A - The edited image is completely black.  This has to be an error. If not, the edit was so unsuccessful as to cause the collapse of the rendering universe, leaving us all in a pit of bleak, eternal blackness and despair.  Let's just hope the image was simply broken. ;)"",""is_good_quality"":{""good_quality"":false,""not_good_quality"":true},""is_visualy_consistence"":{""not_visualy_consistence"":true,""visualy_consistence"":false},""visualy_consistence_explanation"":""The entire image is black.""}]","[0, 0, 0]","[True, False, True]","[True, True, True]","[2, 2, 2]","[False, False, True]","[True, True, False]","[False, False, False]","[1, 3, 4]"
27,3,True,False,1,True,False,True,"['After image not loading', ""The black bag on the back of the motorcycle was replaced with a brown leather luggage bag. The reflection appearing on the car's window has slightly changed, around the right side area of the luggage bag."", 'The black bag on the back of the motorcycle was replaced with a brown leather luggage bag. The back part of the bike seat under the bag has a shifted design on the side.']","['', '', '']","['', '', '']",Let the bag be replaced by a brown leather luggage bag.,Replace the black bag on the back of the motorcycle with a brown leather luggage bag.,"[{'class': 'suitcase', 'detail1_bbox': [[116, 24, 345, 251]], 'detail2_bbox': [[328, 148, 443, 244]]}, {'class': 'suitcase', 'detail1_bbox': [[116, 24, 345, 251]], 'detail2_bbox': [[99, 221, 355, 419]]}, {'class': 'suitcase', 'detail1_bbox': [[98, 219, 354, 419]], 'detail2_bbox': [[99, 221, 355, 419]]}, {'class': 'suitcase', 'detail1_bbox': [[327, 147, 442, 243]], 'detail2_bbox': [[99, 221, 355, 419]]}]",The black bag on the back of the motorcycle was replaced with a brown leather luggage bag.,The black bag was replaced with a brown leather luggage bag.,Replace,27616_Let the bag be replaced by a brown leather luggage bag._1,test,https://d3f6n9ckq6wheg.cloudfront.net/27616_Let+the+bag+be+replaced+by+a+brown+leather+luggage+bag._1_source.png,https://ditrjjm9jx0yk.cloudfront.net/images/ultraedit_Let%20the%20bag%20be%20replaced%20by%20a%20brown%20leather%20luggage%20bag..png,"[{""DispenseROPTrigger"":""3"",""is_accurate"":{""accurate"":true,""accurate_but_unexpected"":false,""not_accurate"":false,""partially_accurate"":false},""is_artifacts"":{""good_image_artifacts"":true,""not_good_image_artifacts_level_1"":false,""not_good_image_artifacts_level_2"":false},""is_extensive_difference_caption_accurate"":{""extensive_difference_caption_accurate"":false,""extensive_difference_caption_not_accurate"":true},""is_extensive_difference_caption_accurate_explenation"":""After image not loading"",""is_good_quality"":{""good_quality"":false,""not_good_quality"":false},""is_visualy_consistence"":{""not_visualy_consistence"":false,""visualy_consistence"":false}}]","[3, 3, 3]","[True, True, True]","[True, True, True]","[0, 1, 1]","[True, True, True]","[False, False, False]","[False, True, True]","[2, 4, 3]"
28,1,False,True,2,False,True,False,"[""The toppings of the pizza were replaced by a furry, plant pollen like texture with little balls with speckles on the surface.  A misshapen glass ball with random reflective squares was placed in the center of the now indented bowl-shape where the pizza's toppings were."", 'The pizza has been replaced with an unknown fruit pie, appearing mostly in red. A small reflective glass ball was added on the center of the pie. The texture of the table, just around the area near the edges of the white plate has been modified slightly. The glass of the yellow juice lost a small part of its bottom area.', 'A crystal ball is added to the center of the white plate. The pizza is replaced by a very odd looking object; which is in the same shape and size of the pizza, looks like some kind of red and yellow coral, which is very blurry. The white plate is darkened a bit, blurred and distorted. Other than that, the image is slightly distorted at some places. ']","[""The edit has replaced the pizza topping with a furry, bizarre texture that looks like pollen, and the actual crystal ball doesn't appear either fully crystal or round."", ""The pie's shape, texture, and features appear inconsistent with real life versions of pies. "", 'The edges look blurry on the left side. A small odd light colored patch is present near the top of the ball.']","['The reflections of the ball are random and inconsistent.', '', 'The ball looks blurry and has low resolution.']",remove the pizza a put a crystal ball in it's place,"Replace the pizza with red sauce, meat, and cheese on a white plate with a crystal ball filled with clear liquid and a small air bubble inside.","[{'class': 'cup', 'detail1_bbox': [[0, 170, 150, 424]], 'detail2_bbox': [[0, 171, 149, 419]]}]",The pizza on the white plate was replaced with a crystal ball filled with clear liquid and a small air bubble inside.,The pizza was replaced with a crystal ball.,Replace,50306_remove the pizza a put a crystal ball in it's place_1,test,https://d3f6n9ckq6wheg.cloudfront.net/50306_remove+the+pizza+a+put+a+crystal+ball+in+it's+place_1_source.png,https://ditrjjm9jx0yk.cloudfront.net/images/ultraedit_remove%20the%20pizza%20a%20put%20a%20crystal%20ball%20in%20it%27s%20place.png,"[{""DispenseROPTrigger"":""1"",""good_quality_explanation"":""The reflections of the ball are random and inconsistent."",""is_accurate"":{""accurate"":false,""accurate_but_unexpected"":false,""not_accurate"":false,""partially_accurate"":true},""is_artifacts"":{""good_image_artifacts"":false,""not_good_image_artifacts_level_1"":false,""not_good_image_artifacts_level_2"":true},""is_extensive_difference_caption_accurate"":{""extensive_difference_caption_accurate"":false,""extensive_difference_caption_not_accurate"":true},""is_extensive_difference_caption_accurate_explenation"":""The toppings of the pizza were replaced by a furry, plant pollen like texture with little balls with speckles on the surface.  A misshapen glass ball with random reflective squares was placed in the center of the now indented bowl-shape where the pizza's toppings were."",""is_good_quality"":{""good_quality"":false,""not_good_quality"":true},""is_visualy_consistence"":{""not_visualy_consistence"":true,""visualy_consistence"":false},""visualy_consistence_explanation"":""The edit has replaced the pizza topping with a furry, bizarre texture that looks like pollen, and the actual crystal ball doesn't appear either fully crystal or round.""}]","[1, 1, 2]","[True, True, True]","[False, True, True]","[2, 2, 2]","[False, False, False]","[True, False, True]","[False, False, False]","[1, 4, 2]"
29,0,False,True,2,False,True,False,"['The white tag on the cord was replaced with a golden object and appearing above it are illegible text. A white cord appearing on the lower right side of the tag has been removed. The white cord with a seam in the middle now appears darker. The coiled cords now has a different texture. The white switch behind the golden object has been altered in shape. A thin line appears on the lower right side of the golden object. ', 'The tag of the cord was replaced with a golden sculpture symbol with text floating above it. The details of he spiral cords are shifted and the coloring is lighter. The thick cord under the tag is replaced with a thin white one.', 'A part of the cord is replaced by a golden object. The white cord is altered; color brightened, distorted and a bit smoothened. The right side of the picture is darkened and smoothened and the cord nearby is also darkened and smoothened. The black letters are blurred and altered. The white label looks transparent. The shading on the white wall behind the cord is altered. The cord on the bottom right is modified and made smaller. Golden small patches are added near the bottom of the cord in the middle. ']","[""The text on the replaced label aren't legible and has no consistent letter shapes. The golden part that was added do not reflect any real life object. The texture of the cord also now appear unrealistic. "", ""The tag was replaced with a golden metal symbol instead of the cord being replace and a pendulum added. The placement in the edit doesn't make logical sense."", ""Part of the cord is replaced with a golden object which doesn't look like a pendulum. The object looks smooth and a bit blurry. ""]","['The replaced text appears blurry.', 'The wording is too blurry for the distance.', 'The edit looks a bit smooth.']",Replace the cord with a pendulum.,"Replace the white electrical cord with a red tag attached to it with a golden-colored sculpture with a small, round object hanging from the top by a thin chain.",[],The white electrical cord with a red tag was replaced with a golden-colored sculpture with a pendulum.,The cord was replaced with a pendulum.,Replace,315219_Replace the cord with a pendulum._1,test,https://d3f6n9ckq6wheg.cloudfront.net/315219_Replace+the+cord+with+a+pendulum._1_source.png,https://ditrjjm9jx0yk.cloudfront.net/images/ultraedit_Replace%20the%20cord%20with%20a%20pendulum..png,"[{""DispenseROPTrigger"":""0"",""good_quality_explanation"":""The replaced text appears blurry."",""is_accurate"":{""accurate"":false,""accurate_but_unexpected"":false,""not_accurate"":true,""partially_accurate"":false},""is_artifacts"":{""good_image_artifacts"":false,""not_good_image_artifacts_level_1"":false,""not_good_image_artifacts_level_2"":true},""is_extensive_difference_caption_accurate"":{""extensive_difference_caption_accurate"":false,""extensive_difference_caption_not_accurate"":true},""is_extensive_difference_caption_accurate_explenation"":""The white tag on the cord was replaced with a golden object and appearing above it are illegible text. A white cord appearing on the lower right side of the tag has been removed. The white cord with a seam in the middle now appears darker. The coiled cords now has a different texture. The white switch behind the golden object has been altered in shape. A thin line appears on the lower right side of the golden object. "",""is_good_quality"":{""good_quality"":false,""not_good_quality"":true},""is_visualy_consistence"":{""not_visualy_consistence"":true,""visualy_consistence"":false},""visualy_consistence_explanation"":""The text on the replaced label aren't legible and has no consistent letter shapes. The golden part that was added do not reflect any real life object. The texture of the cord also now appear unrealistic. ""}]","[0, 0, 0]","[True, True, True]","[False, True, True]","[2, 2, 2]","[False, False, False]","[True, True, True]","[False, False, False]","[4, 3, 2]"
30,2,True,True,2,False,False,False,"['A mascot that resembles a bear was added in the stands. Several audience members were removed, and several were also added. The texture of the two athletes wearing white uniforms and blue caps have also been altered in appearance. The yellow padding below the mascot, as well as the Budweiser poster have slightly been modified. The building features behind the audience members, appearing on the upper-right side of the photo has been slightly modified.', 'A big man carrying a child were both replaced with a mascot in the stands of the baseball game. All of the people behind the mascot are removed or replaced with different people. The man in the baseball uniform to the right of the mascot is blurred and the shape of their head is changed.', 'A white and brown mascot was added to the stands of the baseball game. The area surrounding the mascot is altered; the people are removed, some people are distorted and blurred, distorted people wearing blue dress are added to the left of the mascot, the fence near the mascot looks removed, the red board below the mascot is distorted, the background behind the mascot is modified. Other than that, the image is blurred at some places. ']","['The mascot have no hands and inconsistent head shape and features. The added audience members have no consistent human shapes as well.', 'The shape of the mascot is off and it is lacking the team uniform mascots usually wear.', 'The shape of the mascot is not perfect; the head looks different and irregular. The mascot looks a bit like a graphical image, especially the head part.']","['', '', 'The head looks a bit grainy.']",have a mascot in the stands,Add a mascot wearing a white jersey with a blue cap to the stands of the baseball game.,"[{'class': 'banner', 'detail1_bbox': [[824, 287, 963, 500]], 'detail2_bbox': [[279, 275, 825, 501]]}, {'class': 'person', 'detail1_bbox': [[570, 142, 629, 259]], 'detail2_bbox': [[569, 81, 629, 257]]}, {'class': 'person', 'detail1_bbox': [[570, 142, 629, 259]], 'detail2_bbox': [[571, 81, 630, 165]]}, {'class': 'person', 'detail1_bbox': [[889, 175, 926, 256], [885, 109, 922, 166]], 'detail2_bbox': [[877, 188, 926, 257], [870, 102, 924, 172]]}, {'class': 'person', 'detail1_bbox': [[889, 175, 926, 256], [885, 109, 922, 166]], 'detail2_bbox': [[871, 102, 923, 166]]}]",A mascot wearing a white jersey with a blue cap was added to the stands of the baseball game.,A mascot was added to the stands.,Add,151480_have a mascot in the stands_1,test,https://d3f6n9ckq6wheg.cloudfront.net/151480_have+a+mascot+in+the+stands_1_source.png,https://ditrjjm9jx0yk.cloudfront.net/images/ultraedit_have%20a%20mascot%20in%20the%20stands.png,"[{""DispenseROPTrigger"":""2"",""is_accurate"":{""accurate"":false,""accurate_but_unexpected"":true,""not_accurate"":false,""partially_accurate"":false},""is_artifacts"":{""good_image_artifacts"":false,""not_good_image_artifacts_level_1"":false,""not_good_image_artifacts_level_2"":true},""is_extensive_difference_caption_accurate"":{""extensive_difference_caption_accurate"":false,""extensive_difference_caption_not_accurate"":true},""is_extensive_difference_caption_accurate_explenation"":""A mascot that resembles a bear was added in the stands. Several audience members were removed, and several were also added. The texture of the two athletes wearing white uniforms and blue caps have also been altered in appearance. The yellow padding below the mascot, as well as the Budweiser poster have slightly been modified. The building features behind the audience members, appearing on the upper-right side of the photo has been slightly modified."",""is_good_quality"":{""good_quality"":true,""not_good_quality"":false},""is_visualy_consistence"":{""not_visualy_consistence"":true,""visualy_consistence"":false},""visualy_consistence_explanation"":""The mascot have no hands and inconsistent head shape and features. The added audience members have no consistent human shapes as well.""}]","[2, 2, 2]","[True, True, True]","[True, True, False]","[2, 1, 2]","[False, False, False]","[False, False, True]","[False, False, False]","[4, 3, 2]"
31,0,False,False,1,False,False,False,"['The cabinet under the bathroom vanity is changed and distorted a little. The entire image other than the edit is distorted and blurred slightly. ', 'The cabinets below the bathroom sink have been replaced by cabinets with different textures and different shapes for its handles. ', 'The black cabinets and drawers are made smoother and flatter. The handles of the cabinets and drawers are shifted in design.']","['Towels are not added under the counter. Instead the cabinet under the bathroom vanity is altered; color darkened, shadows added, handles are distorted and look smudged, the texture looks smooth and smudged, wooden patterns changed. ', 'The door handles of the cabinets have an inconsistent shape. ', 'No folded towels were added into the image.']","['The edit is having lower resolution. The doors are smooth and handles are blurry. ', '', '']",let there be folded towels under the counter,Add a pair of folded towels under the dark brown bathroom vanity.,[],A pair of folded towels were added under the bathroom vanity.,Added folded towels under the counter.,Add,315702_let there be folded towels under the counter_1,test,https://d3f6n9ckq6wheg.cloudfront.net/315702_let+there+be+folded+towels+under+the+counter_1_source.png,https://ditrjjm9jx0yk.cloudfront.net/images/ultraedit_let%20there%20be%20folded%20towels%20under%20the%20counter.png,"[{""DispenseROPTrigger"":""0"",""good_quality_explanation"":""The edit is having lower resolution. The doors are smooth and handles are blurry. "",""is_accurate"":{""accurate"":false,""accurate_but_unexpected"":false,""not_accurate"":true,""partially_accurate"":false},""is_artifacts"":{""good_image_artifacts"":false,""not_good_image_artifacts_level_1"":true,""not_good_image_artifacts_level_2"":false},""is_extensive_difference_caption_accurate"":{""extensive_difference_caption_accurate"":false,""extensive_difference_caption_not_accurate"":true},""is_extensive_difference_caption_accurate_explenation"":""The cabinet under the bathroom vanity is changed and distorted a little. The entire image other than the edit is distorted and blurred slightly. "",""is_good_quality"":{""good_quality"":false,""not_good_quality"":true},""is_visualy_consistence"":{""not_visualy_consistence"":true,""visualy_consistence"":false},""visualy_consistence_explanation"":""Towels are not added under the counter. Instead the cabinet under the bathroom vanity is altered; color darkened, shadows added, handles are distorted and look smudged, the texture looks smooth and smudged, wooden patterns changed. ""}]","[0, 0, 0]","[True, True, False]","[True, True, True]","[1, 2, 1]","[False, False, False]","[True, False, False]","[False, False, False]","[2, 4, 3]"
32,0,False,True,2,False,False,False,"['The black bicycle has been changed to a yellow and black bicycle. The painting, floor, wall, and a part of a leg of the small black stand in the foreground has been altered in texture, around the area where the new bicycle is.', 'The bicycle that was next to the table has been replaced by another bicycle. The area around the cycle is altered; the bottom part of the wall hanging behind the cycle is distorted, the top and left side of the stool is distorted, the bottom part of the stool near the right wheel is altered and looks bigger. The small patches on the mirror are altered, removed and added. The entire image is blurred slightly at some places. ', 'The bicycle that was next to the table has been replaced with a different bicycle. The wall, flooring and table brace near the front tire have been shifted. The wall near the back wheel is unblurred and the framed picture near the bike has been partially erased. ']","['The bicycle has a different color, wheel size, and missing the right half of the front handle.', 'Instead of removing the cycle, the cycle is replaced by another cycle. The front tire of the cycle looks odd and distorted. It looks like the cycle has no seat and the hand bar is looking odd and unclear. ', 'The bicycle was changed to a different bicycle instead of being removed']","['', '', 'Part of the area where the original bike was is shifted and, concerning the framed picture, partially removed.']",The bicycle should be removed.,Remove the bicycle that is next to the table.,[],The bicycle that was next to the table has been removed.,The bicycle was removed.,Remove,74583_The bicycle should be removed._2,test,https://d3f6n9ckq6wheg.cloudfront.net/74583_The+bicycle+should+be+removed._2_source.png,https://ditrjjm9jx0yk.cloudfront.net/images/ultraedit_The%20bicycle%20should%20be%20removed..png,"[{""DispenseROPTrigger"":""1"",""is_accurate"":{""accurate"":false,""accurate_but_unexpected"":false,""not_accurate"":false,""partially_accurate"":true},""is_artifacts"":{""good_image_artifacts"":false,""not_good_image_artifacts_level_1"":false,""not_good_image_artifacts_level_2"":true},""is_extensive_difference_caption_accurate"":{""extensive_difference_caption_accurate"":false,""extensive_difference_caption_not_accurate"":true},""is_extensive_difference_caption_accurate_explenation"":""The black bicycle has been changed to a yellow and black bicycle. The painting, floor, wall, and a part of a leg of the small black stand in the foreground has been altered in texture, around the area where the new bicycle is."",""is_good_quality"":{""good_quality"":true,""not_good_quality"":false},""is_visualy_consistence"":{""not_visualy_consistence"":true,""visualy_consistence"":false},""visualy_consistence_explanation"":""The bicycle has a different color, wheel size, and missing the right half of the front handle.""}]","[1, 0, 0]","[True, True, True]","[True, True, True]","[2, 2, 2]","[False, False, False]","[False, False, True]","[False, False, False]","[4, 2, 3]"
33,2,True,False,1,False,True,False,"[""The man's shirt was changed to a red shirt with stripes. The man's neck has moved slightly and together with the man's right arm, they now appear lighter in color. The paper on the wall behind the man's shirt has been altered. "", ""The man's red shirt has light red stripes added over it. The coloring of the man and grey box are made brighter."", ""The man's brown shirt was changed to a red striped shirt. The man's neck is distorted, blurred and smoothened. The hand is smoothened, color is lightened and texture is altered. The small brown patch behind the man, that looks like a chair, is removed. Other that that, the entire image is blurred slightly. ""]","[""The stripes on the shirt don't have a consistent shape and has no uniform or cohesive distance in each stripe."", ""The added stripes don't match into each other the way they should and some of the natural folds in the shirt were removed."", 'The shirt looks smooth and the stripe looks blurry. The back edge of the shirt looks very blurry. ']","['The added stripes appear blurry.', 'The shirt is a bit too smoothed out on the back and back of the sleeve.', 'The resolution of the shirt is low and it is blurry. ']",let the man wear a striped shirt,Change the man's red shirt to a blue and green striped shirt with a geometric pattern.,"[{'class': 'poster', 'detail1_bbox': [[519, 632, 625, 791]], 'detail2_bbox': [[519, 630, 611, 790]]}, {'class': 'poster', 'detail1_bbox': [[519, 632, 625, 791]], 'detail2_bbox': [[519, 630, 611, 790]]}]",The man's red shirt was changed to a blue and green striped shirt with a geometric pattern.,The man's shirt was changed to a striped one.,Change Attribute,524459_let the man wear a striped shirt_2,test,https://d3f6n9ckq6wheg.cloudfront.net/524459_let+the+man+wear+a+striped+shirt_2_source.png,https://ditrjjm9jx0yk.cloudfront.net/images/ultraedit_let%20the%20man%20wear%20a%20striped%20shirt.png,"[{""DispenseROPTrigger"":""2"",""good_quality_explanation"":""The added stripes appear blurry."",""is_accurate"":{""accurate"":false,""accurate_but_unexpected"":true,""not_accurate"":false,""partially_accurate"":false},""is_artifacts"":{""good_image_artifacts"":false,""not_good_image_artifacts_level_1"":true,""not_good_image_artifacts_level_2"":false},""is_extensive_difference_caption_accurate"":{""extensive_difference_caption_accurate"":false,""extensive_difference_caption_not_accurate"":true},""is_extensive_difference_caption_accurate_explenation"":""The man's shirt was changed to a red shirt with stripes. The man's neck has moved slightly and together with the man's right arm, they now appear lighter in color. The paper on the wall behind the man's shirt has been altered. "",""is_good_quality"":{""good_quality"":false,""not_good_quality"":true},""is_visualy_consistence"":{""not_visualy_consistence"":true,""visualy_consistence"":false},""visualy_consistence_explanation"":""The stripes on the shirt don't have a consistent shape and has no uniform or cohesive distance in each stripe.""}]","[2, 2, 2]","[True, True, True]","[True, False, True]","[1, 1, 1]","[False, False, False]","[True, True, True]","[False, False, False]","[4, 3, 2]"
34,2,True,True,2,False,False,False,"[""The three pieces of meat inside the bowl of red soup were replaced with two boiled eggs, one with partial egg white, and the other only having its egg yolk. The texture of the bowl, it's dark-blue cover, the paper placemat surrounding the bowl, and the left side of the rectangular plate with the fish fillet has their texture modified as well. "", 'Two eggs are added to the bowl of tomato soup and the pieces of bread in the soup are removed. The soup is modified and the texture looks different. Some items looks submerged in the soup. The soup, soup bowl and the lid is smoothened and blurred. The area around the soup bowl is distorted; the letters on the left side of the blue and white tray are smudged, the letters on the orange paper is also distorted, the white highlight to the right of the soup bowl is altered and blurred, the shadow above the lid is distorted. The entire image is blurred slightly at various places. ', 'The bowl of tomato soup with two pieces has multiple eggs added over them. The size and position of the bread has changed. The left side of the plate is shifted in design and so is the entire lid sitting behind the bowl. ']","[""Only a partial egg white was seen on the left egg and the right egg entirely missing its egg white. The egg yolks also appear to have a shiny texture where a realistic egg yolk that's boiled are not shiny. "", 'Eggs are added to the bowl of tomato soup. Eggs are of odd shape; one egg yolk is added, in another egg egg yolk is attached to the egg white and it looks odd, eggs are smooth and shiny and it looks like soft-boiled eggs. ', 'Round objects that relate to egg coloring are added, but are not the right shape for any naturally cooked eggs']","['', 'The eggs looks very smooth and the resolution looks lower.', '']",Put a bowl of eggs on the table.,Replace the black bowl of tomato soup with a blue and orange egg cup containing two soft-boiled eggs on a white plate.,[],The bowl of tomato soup with two pieces of bread was replaced with two soft-boiled eggs in a blue and orange egg cup on a white plate.,The bowl of soup was replaced with a bowl of eggs.,Replace,12766_Put a bowl of eggs on the table._2,test,https://d3f6n9ckq6wheg.cloudfront.net/12766_Put+a+bowl+of+eggs+on+the+table._2_source.png,https://ditrjjm9jx0yk.cloudfront.net/images/ultraedit_Put%20a%20bowl%20of%20eggs%20on%20the%20table..png,"[{""DispenseROPTrigger"":""2"",""is_accurate"":{""accurate"":false,""accurate_but_unexpected"":true,""not_accurate"":false,""partially_accurate"":false},""is_artifacts"":{""good_image_artifacts"":false,""not_good_image_artifacts_level_1"":false,""not_good_image_artifacts_level_2"":true},""is_extensive_difference_caption_accurate"":{""extensive_difference_caption_accurate"":false,""extensive_difference_caption_not_accurate"":true},""is_extensive_difference_caption_accurate_explenation"":""The three pieces of meat inside the bowl of red soup were replaced with two boiled eggs, one with partial egg white, and the other only having its egg yolk. The texture of the bowl, it's dark-blue cover, the paper placemat surrounding the bowl, and the left side of the rectangular plate with the fish fillet has their texture modified as well. "",""is_good_quality"":{""good_quality"":true,""not_good_quality"":false},""is_visualy_consistence"":{""not_visualy_consistence"":true,""visualy_consistence"":false},""visualy_consistence_explanation"":""Only a partial egg white was seen on the left egg and the right egg entirely missing its egg white. The egg yolks also appear to have a shiny texture where a realistic egg yolk that's boiled are not shiny. ""}]","[2, 2, 1]","[True, True, True]","[True, False, True]","[2, 2, 1]","[False, False, False]","[False, True, False]","[False, False, False]","[4, 2, 3]"
35,2,True,False,1,False,False,True,"['The floor on which the boxes are placed was changed to wood. The edges of the yellow box are distorted and the the letters at the bottom are smudged. The entire image other than the flooring is distorted and blurred at various places. ', 'The floor on which the boxes are placed was changed to wood. The bottom part of the A&W box has been slightly modified. ', 'The floor on which the boxes are placed was changed to wood. The edges of the box are shifted and the yellow box looks crumpled on the bottom.']","['The patterns on wooden floor is unclear and looks very rough and jagged at some places. ', '', 'There is no clear seen split between the gray wooden panels and the angle makes it look like the floor is descending as it goes away.']","['The wooden flooring looks grainy and low resolution.', '', '']",Let the floor be made of wood.,Change the material of the floor on which the boxes are placed to wood.,"[{'class': 'box', 'detail1_bbox': [[273, 564, 795, 945]], 'detail2_bbox': [[269, 561, 794, 1010]]}, {'class': 'box', 'detail1_bbox': [[306, 160, 787, 748]], 'detail2_bbox': [[269, 561, 794, 1010]]}]",The floor on which the boxes are placed was changed to wood.,The floor material was changed to wood.,Change Attribute,418726_Let the floor be made of wood._1,test,https://d3f6n9ckq6wheg.cloudfront.net/418726_Let+the+floor+be+made+of+wood._1_source.png,https://ditrjjm9jx0yk.cloudfront.net/images/ultraedit_Let%20the%20floor%20be%20made%20of%20wood..png,"[{""DispenseROPTrigger"":""2"",""good_quality_explanation"":""The wooden flooring looks grainy and low resolution."",""is_accurate"":{""accurate"":false,""accurate_but_unexpected"":true,""not_accurate"":false,""partially_accurate"":false},""is_artifacts"":{""good_image_artifacts"":false,""not_good_image_artifacts_level_1"":true,""not_good_image_artifacts_level_2"":false},""is_extensive_difference_caption_accurate"":{""extensive_difference_caption_accurate"":true,""extensive_difference_caption_not_accurate"":false},""is_extensive_difference_caption_accurate_explenation"":""The floor on which the boxes are placed was changed to wood. The edges of the yellow box are distorted and the the letters at the bottom are smudged. The entire image other than the flooring is distorted and blurred at various places. "",""is_good_quality"":{""good_quality"":false,""not_good_quality"":true},""is_visualy_consistence"":{""not_visualy_consistence"":true,""visualy_consistence"":false},""visualy_consistence_explanation"":""The patterns on wooden floor is unclear and looks very rough and jagged at some places. ""}]","[2, 3, 2]","[True, True, True]","[True, False, True]","[1, 1, 1]","[False, True, False]","[True, False, False]","[True, True, True]","[2, 4, 3]"
36,1,False,False,1,False,True,False,"['The giraffe on the right was replaced by an unknown animal. The dirt ground and the trees in the background surrounding this animal was slightly modified. ', 'The giraffe standing on the right was changed to having a thicker, non-spotted, brown fur and monkey shaped paws for feet. The trees and dirt to the direct right of the changed giraffe is shifted. The head of the giraffe is changed to a finger like flat shape.', 'The giraffe standing sideways to the camera was replaced with an odd-looking animal walking on a dirt path. The area around the giraffe is altered; the shadows on the ground are smoothened, the ground is smoothened and the texture looks different-color is different and small rocks are removed, the trees around the giraffe are distorted, blurred and look smudged, the grey fence between the ground and the tree is distorted and blurred. Other than that, the image is slightly blurred throughout. ']","[""The replaced animal's shape, size, and texture do not represent any real life counterpart. There are also no recognizable facial shape and features."", 'The changed giraffe is still shaped like a giraffe but has elements of a monkey.', ""The giraffe is changed to an odd-looking animal that doesn't look like a monkey. The animal looks like a graphical image and not realistic. The head is odd and not clear. The texture of the fur is smooth.  ""]","['The upper portion of the animal where the face should be has a blurry resolution.', 'The resolution is low and there is too much distortion around the head.', 'The resolution is low. The head and the fur look smooth. ']",Change one of the giraffes to a monkey,"Replace the giraffe standing in the dry, grassy area with a monkey walking on a dirt path.",[],The giraffe standing sideways to the camera was replaced with a monkey walking on a dirt path.,A giraffe was replaced with a monkey.,Replace,349302_Change one of the giraffes to a monkey_1,test,https://d3f6n9ckq6wheg.cloudfront.net/349302_Change+one+of+the+giraffes+to+a+monkey_1_source.png,https://ditrjjm9jx0yk.cloudfront.net/images/ultraedit_Change%20one%20of%20the%20giraffes%20to%20a%20monkey.png,"[{""DispenseROPTrigger"":""1"",""good_quality_explanation"":""The upper portion of the animal where the face should be has a blurry resolution."",""is_accurate"":{""accurate"":false,""accurate_but_unexpected"":false,""not_accurate"":false,""partially_accurate"":true},""is_artifacts"":{""good_image_artifacts"":false,""not_good_image_artifacts_level_1"":true,""not_good_image_artifacts_level_2"":false},""is_extensive_difference_caption_accurate"":{""extensive_difference_caption_accurate"":false,""extensive_difference_caption_not_accurate"":true},""is_extensive_difference_caption_accurate_explenation"":""The giraffe on the right was replaced by an unknown animal. The dirt ground and the trees in the background surrounding this animal was slightly modified. "",""is_good_quality"":{""good_quality"":false,""not_good_quality"":true},""is_visualy_consistence"":{""not_visualy_consistence"":true,""visualy_consistence"":false},""visualy_consistence_explanation"":""The replaced animal's shape, size, and texture do not represent any real life counterpart. There are also no recognizable facial shape and features.""}]","[1, 1, 0]","[True, True, True]","[True, True, False]","[1, 1, 1]","[False, False, False]","[True, True, True]","[False, False, False]","[4, 3, 2]"
